Name,SMILES,InChI,InChIKey,Source,FooDB ID,DNMT1,DNMT3a,DNMT3b,HAT/Ep300,HAT2B/Ep300,HAT3B/p300,EZH2,PRMT1,HDAC1,HDAC2,HDAC3,HDAC4,HDAC5,HDAC6,HDAC7,HDAC8,HDAC9,HDAC10,HDAC11,SIRT1,SIRT2,SIRT3,SIRT4,SIRT5,SIRT6,SIRT7,LSD1,KDM1A,KDM1B,KDM2A,KDM2B,KDM3A,KDM3B,KDM4A,KDM4B,KDM4C,KDM4D,KDM5A,KDM5B,KDM5C,KDM5D,KDM6A,KDM6B,KDM7A,KDM8,BET/BRD4,Unknown epigenetic target DNMT,Unknown epigenetic target HAT,Unknown epigenetic target HDAC,Unknown epigenetic target,Total Targets,COCONUT ID,DOI
Alpha-Ketoglutarate,[O-]C(=O)CCC(=O)C([O-])=O,"InChI=1S/C5H6O5/c6-3(5(9)10)1-2-4(7)8/h1-2H2,(H,7,8)(H,9,10)/p-2",KPGXRSRHYNQIFN-UHFFFAOYSA-L,"Meat, fish, dairy products",FDB003361,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,13,Not in database,10.1186/s13148-019-0702-5
Alpha-mangostin,COc1c(O)cc2Oc3cc(O)c(CC=C(C)C)c(O)c3C(=O)c2c1CC=C(C)C,"InChI=1S/C24H26O6/c1-12(2)6-8-14-16(25)10-19-21(22(14)27)23(28)20-15(9-7-13(3)4)24(29-5)17(26)11-18(20)30-19/h6-7,10-11,25-27H,8-9H2,1-5H3",GNRIZKKCNOBBMO-UHFFFAOYSA-N,Mangosteen fruit,FDB014546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CNP0158137,10.1016/j.apsb.2020.06.007
Alpha-Tocopherol,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCc2c(C)c(O)c(C)c(C)c2O1,"InChI=1S/C29H50O2/c1-20(2)12-9-13-21(3)14-10-15-22(4)16-11-18-29(8)19-17-26-25(7)27(30)23(5)24(6)28(26)31-29/h20-22,30H,9-19H2,1-8H3/t21-,22-,29-/m1/s1",GVJHHUAWPYXKBD-IEOSBIPESA-N,"Wheat germ oil, sunflower oil, nuts, seeds, green leafy vegetables",FDB000565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,CNP0338526,"10.1002/biof.1728,10.3390/nu14102150,10.3390/nu10121919,10.2174/1871530319666190529101816,10.3390/nu9090962,10.2174/1872312814999211130093625,10.1016/j.ijdevneu.2018.09.001"
Alpha-Viniferin,Oc1ccc(cc1)[C@@H]2Oc3cc(O)cc4[C@@H]5[C@H](Oc6cc(O)cc([C@H]7[C@@H](Oc8cc(O)cc([C@@H]2c34)c78)c9ccc(O)cc9)c56)c%10ccc(O)cc%10,"InChI=1S/C42H30O9/c43-22-7-1-19(2-8-22)40-37-28-13-25(46)17-32-35(28)39(42(50-32)21-5-11-24(45)12-6-21)30-15-27(48)18-33-36(30)38(29-14-26(47)16-31(49-40)34(29)37)41(51-33)20-3-9-23(44)10-4-20/h1-18,37-48H/t37-,38-,39+,40+,41+,42-/m1/s1",KUTVNHOAKHJJFL-ZSIJVUTGSA-N,Grapevine and wine,FDB002497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Not in database,10.15430/JCP.2020.25.4.189
Amarogentin,OC[C@H]1O[C@@H](O[C@@H]2OC=C3[C@@H](CCOC3=O)[C@H]2C=C)[C@H](OC(=O)c4c(O)cc(O)cc4c5cccc(O)c5)[C@@H](O)[C@@H]1O,"InChI=1S/C29H30O13/c1-2-16-17-6-7-38-26(36)19(17)12-39-28(16)42-29-25(24(35)23(34)21(11-30)40-29)41-27(37)22-18(9-15(32)10-20(22)33)13-4-3-5-14(31)8-13/h2-5,8-10,12,16-17,21,23-25,28-35H,1,6-7,11H2/t16-,17+,21-,23-,24+,25-,28+,29+/m1/s1",DBOVHQOUSDWAPQ-WTONXPSSSA-N,Gentian root,Not in database,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CNP0114733,10.1007/s11356-021-15594-8
Amentoflavone,Oc1ccc(cc1)C2=CC(=O)c3c(O)cc(O)c(c3O2)c4cc(ccc4O)C5=CC(=O)c6c(O)cc(O)cc6O5,"InChI=1S/C30H18O10/c31-15-4-1-13(2-5-15)24-12-23(38)29-21(36)10-20(35)27(30(29)40-24)17-7-14(3-6-18(17)33)25-11-22(37)28-19(34)8-16(32)9-26(28)39-25/h1-12,31-36H",YUSWMAULDXZHPY-UHFFFAOYSA-N,"Ginkgo biloba, St. John's wort",Not in database,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,CNP0311925,"10.15430/JCP.2020.25.4.189,10.1016/bs.apcsb.2020.04.001"
Anacardic acid,CCCCCCCCCCCCCCCc1cccc(O)c1C(O)=O,"InChI=1S/C22H36O3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-16-19-17-15-18-20(23)21(19)22(24)25/h15,17-18,23H,2-14,16H2,1H3,(H,24,25)",ADFWQBGTDJIESE-UHFFFAOYSA-N,Cashew nuts,FDB012091,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CNP0159086,10.3389/fonc.2020.605386
Apigenin,Oc1ccc(cc1)C2=CC(=O)c3c(O)cc(O)cc3O2,"InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-7,16-18H",KZNIFHPLKGYRTM-UHFFFAOYSA-N,"Parsley, chamomile, celery, onions",FDB002798,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,CNP0251015,"10.3389/fgene.2021.758733,10.3389/fgene.2022.960263,10.1155/2021/9995903,10.3390/antiox10121859,10.1016/j.taap.2021.115467"
Arachidonic Acid,CCCCC/C=C\C\C=C/C/C=C\C\C=C/CCCC(O)=O,"InChI=1S/C20H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h6-7,9-10,12-13,15-16H,2-5,8,11,14,17-19H2,1H3,(H,21,22)/b7-6-,10-9-,13-12-,16-15-",YZXBAPSDXZZRGB-DOFZRALJSA-N,"Meat, eggs, dairy products",FDB011872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,CNP0117763,"10.3389/fphys.2021.646491,10.1016/j.prostaglandins.2020.106477"
Arctigenin,COc1cc(C[C@@H]2[C@H](COC2=O)Cc3ccc(OC)c(OC)c3)ccc1O,"InChI=1S/C21H24O6/c1-24-18-7-5-13(11-20(18)26-3)8-15-12-27-21(23)16(15)9-14-4-6-17(22)19(10-14)25-2/h4-7,10-11,15-16,22H,8-9,12H2,1-3H3/t15-,16+/m0/s1",NQWVSMVXKMHKTF-JKSUJKDBSA-N,Certain plants like burdock root and greater burdock,FDB001442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,CNP0213992,10.3389/fgene.2019.00079
